acc_id,acc_date,acc_state,acc_city,fix_port,source,bus_type,industry_sector,device_category,device_type,tradename_or_generic,manufacturer,num_injured,age_youngest,gender,acc_desc,injury_desc,report,category,mechanical,op_error,employee,notes
1005755,9/12/2009,WI,Green Bay,F,"Wisconsin Dept. of Commerce, Safety and Building Division",Amusement park,recreation,play equipment,Slide,dry slide,Magic Mountain,1,,,"Rider was riding down slide, stopped, stood up to untanlge foot from slide bag, lost her balance and fell face-first, hitting slide divider. Chin required stitches to close cut and a couple of broken ribs.","chin, ribs",,Impact: hit something in participatory attraction,,,,
1005754,6/28/2009,WI,Madison,P,Media Report,Unknown,amusement ride,spinning,Ferris/gondola wheel,ferris wheel,,2,,,"The drive cable of the Ferris wheel came off its track and the wheel went into free spin. Initially, midway workers and police officers at the scene tried to unload the riders by controlling the wheel manually, but the load became unbalanced. When the Fire Department Technical Rescue Team arrived on the scene, they attached ropes to each side of the wheel to secure it. One side was tied to a fire engine, and the other to a semi-trailer truck. Once the wheel was secured, the team could bring each set on the ride around for passengers to get off. No passengers were injured in the incident, but two police officers received minor injuries when the wheel broke free the second time. Investigators found that the operator failed to load patrons in a way that balanced the weight across the wheel.",Minor injuries,,Equipment failure,1,1,,http://wisinfo.biz/ic/caspio/amusementpark.html
1005753,5/30/2009,WI,Wisconsin Dells,F,Media Report,Amusement park,recreation,go-kart,Go-kart,go kart,,1,8,,Parent reports her son's kart was repeatedly hit by another kart. She stated that supervision was poor.,"Fracture, bruising, lacerations",,Collision: patron-controlled vehicles,,,,http://wisinfo.biz/ic/caspio/amusementpark.html
1004578,4/17/2009,WA,Puyallup,P,Washington Dept. of Labor and Industries,Carnival or rental,amusement ride,spinning,Swing ride,Lolli Swing,Zamperla,14,,,Swing tipped over on its side during operation. One news report stated that the ride had been set up on muddy ground.,"6 children were transported to the hospital, treated and released. &nbsp;8 others suffered cuts and bruises, but did not go to the hospital.",,Equipment failure,1,,,"http://www.king5.com/article/news/local/amusement-ride-regulations-is-more-oversight-needed/441398786
href=""http://www.king5.com/article/news/local/amusement-ride-regulations-is-more-oversight-needed/441398786"">http://www.king5.com/article/news/local/amusement-ride-regulations-is-more-oversight-needed/441398786</a></div>"
1007272,4/5/2009,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Track ride,dark ride,In-house,1,44,F,Patron's attorney stated that she had a right vertegral artery tear after riding the attraction.  Reported 2 years later.,Right vertegral artery tear,,Illness or neurological symptoms,,,,
918972,2/5/2009,FL,Naples,P,Florida Dept. of Agriculture,Carnival or rental,amusement ride,pendulum,Flying carpet ride,Avalanche,"Wisdom Industries, Ltd.",1,17,F,"17-yo female was ejected from the ride mid-cyle.  She fell 20 feet, hitting a fence and then the ground.",Multiple broken ribs and bruised lung,https://ridesdatabase.org/accident_reports/FL_918972.pdf,Fall: ejection/fall from ride,1,,,"This was the third ejection on this ride, under multiple owners.  State investigators confirmed that the victim's restraint failed, but did not find a definitive reason for this.  The ride manufacturer's inspection determined that the ride was operating at higher RPM than recommended."
919123,11/8/2008,CA,Buena Park,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,Boomerang,Vekoma,1,19,M,Guest injured right hand while riding.,Injured hand.  Treated at local hospital.,,Unknown (not enough info),,,,
919095,11/1/2008,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Spinning cups/tubs,tea cups,In-house,1,51,F,"Guest stated when she sat down in the vehicle, prior to the ride starting, she experienced a spontaneous nosebleed.",Nosebleed.  Treated at local hospital.,,Illness or neurological symptoms,,,,
919094,10/29/2008,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Spinning cups/tubs,tea cups,In-house,1,38,F,Guest stated she felt lightheaded and experienced high blood pressure after riding.,"Dizziness, high blood pressure.  Treated at local hospital.",,Illness or neurological symptoms,,,,
917423,10/24/2008,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Carousel,carousel,Morgan,1,33,F,Guest was standing next to her child who was riding on the whale and her left foot was injured when whale descended.,injured left foot,,Entrapment or pinch-point,,,,
919071,10/19/2008,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,looping coaster,Intamin AG,1,40,U,Guest complained of chest pain prior and after riding.  Park claims history of chest pain.,Chest pain,,Body pain (normal motion),,,,
